Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Жайворон,Вадим,Григорович,Чоловік,1990-05-22,Палеонтолог,хутір Кобеляки,"вулиця Байкал тупик, буд. 526 кв. 82, Балаклія, 22966",045-94-31,vhavrylenko@example.com
Зінчук,Августин,Романович,Чоловік,1971-09-06,Продюсер,хутір Лубни,"вулиця Отонівський, буд. 399, Хотин, 91698",+380 98 083-51-00,volodymyr35@example.net
Тимченко,Герман,Миколайович,Чоловік,2006-12-06,Локсмайстер,селище Боково-Хрустальне,"парк Павлодарська, буд. 6, Бахчисарай, 01568",802-94-12,mariia85@example.com
Лубенець,Макар,Федорович,Чоловік,1993-01-15,Кінолог,селище Миколаївка,"парк Юннатів, буд. 3, Борислав, 12646",+380 (60) 121-44-82,babiichukmykhailo@example.com
Жук,Наталія,Василівна,Жінка,1955-11-09,Ді-джей,хутір Рожище,"вулиця Донорська, буд. 19 кв. 223, Бориспіль, 87869",+380 47 902-84-09,demian84@example.org
Дацюк,Альбіна,Сергіївна,Жінка,1992-09-27,Мінералог,хутір Помічна,"шосе Кримський, буд. 519, Жидачів, 58496",045 640 51 90,milena76@example.net
Онищенко,Валентина,Юріївна,Жінка,2007-03-09,Перекладач,селище Єнакієве,"шосе Станційна 1-ша, буд. 2 кв. 344, Макіївка, 97414",+380 (55) 837-43-97,avreliilemeshko@example.com
Юрчук,Златослава,Василівна,Жінка,1955-02-07,Громадський діяч,місто Березівка,"узвіз Новосельского, буд. 7 кв. 6, Боярка, 24200",+380 57 092-63-83,jfareniuk@example.com
Рябець,Миколай,Павлович,Чоловік,1956-09-10,Драматург,місто Запоріжжя,"провулок Райдужна, буд. 931 кв. 4, Петрово-Красносілля, 39106",+380 70 292 41 73,andriivertyporokh@example.org
Архипенко,Лесь,Володимирович,Чоловік,1984-10-14,М'ясник,селище Красилів,"провулок 7-ма Лінія Дачі Ковалевського, буд. 4, Шахтарськ, 61818",+380 44 651-74-62,hrespanas@example.net
Верхола,Вʼячеслав,Тимофійович,Чоловік,2008-06-23,Каскадер,селище Благовіщенське,"провулок Рибальська, буд. 3, Рава-Руська, 86909",+380 48 077 68 87,hlib17@example.net
Фаренюк,Гліб,Павлович,Чоловік,1958-11-14,Локсмайстер,місто Кам'янка-Дніпровська,"шосе Опішнянський, буд. 052, Вараш, 92155",+380 84 693-49-29,leopold77@example.com
Матяш,Валентина,Миколаївна,Жінка,1999-04-16,Маркетолог,село Кипуче,"сквер Куниці, буд. 25, Снятин, 15580",+380 32 435-33-15,albert13@example.net
Лубенець,Світлана,Максимівна,Жінка,1983-05-03,Електротехнік,село Корсунь-Шевченківський,"площа Студентський 2-й, буд. 88, Красноперекопськ, 28026",949 35 76,mykolai16@example.org
Вахній,Василина,Іванівна,Жінка,1945-04-07,Ветеринар,село Охтирка,"вулиця Балківська, буд. 769 кв. 58, Тернопіль, 96562",+380 04 840 81 48,kdatsiuk@example.org
Девдюк,Марина,Петрівна,Жінка,1946-08-01,Електромонтер,селище Шпола,"сквер Шоста, буд. 232 кв. 8, Гуляйполе, 11413",+380 36 962-53-48,babiiparmen@example.net
Шаблій,Остап,Романович,Чоловік,1982-12-02,Етнограф,місто Березань,"узвіз Ігоря Кисельова, буд. 08, Кипуче, 32418",848-58-32,riabchenkodanna@example.com
Даниленко,Єлисавета,Романівна,Жінка,2003-08-10,Палеонтолог,селище Полтава,"площа Виставочна, буд. 291, Узин, 35984",+380 (54) 395-81-58,nosachenkoorest@example.org
Забара,Тереза,Ігорівна,Жінка,1995-08-02,Перекладач,селище Дубляни,"вулиця Чорноморського козацтва, буд. 88 кв. 7, Барвінкове, 38166",706 14 61,alinariaboshapka@example.org
Арсенич,Стефан,Олександрович,Чоловік,1958-04-09,Флорист,селище Баранівка,"вулиця Локомотивний 1-й, буд. 82, Славута, 31264",+380 57 868-23-55,alinairvanets@example.org
Іващенко,Тимофій,Ігорович,Чоловік,1966-01-16,Лікар,село Верхньодніпровськ,"узвіз Бориса Дерев'янка, буд. 1 кв. 209, Монастириська, 65032",+380 68 599-67-71,adambashpolchenko@example.com
Ніколюк,Азар,Олександрович,Чоловік,1976-08-10,Секретар,село Кагарлик,"площа Артезіанська, буд. 952 кв. 8, Корець, 86791",+380 (39) 162-51-34,ovelychko@example.org
Деркач,Ірена,Богданівна,Жінка,1953-10-13,Державний службовець,селище Вуглегірськ,"провулок Вчительська, буд. 28, Шумськ, 16043",388-44-11,iustymprytula@example.org
Радченко,Анастасія,Георгіївна,Жінка,1990-02-18,Драматург,село Моршин,"парк Восьмого березня 2-й, буд. 413, Гірське, 45817",005 135 68 06,volodymyra27@example.org
Чередник,Демʼян,Васильович,Чоловік,1980-04-19,Прокурор,селище Кремінна,"провулок Шкодова гора, буд. 37, Курахове, 37213",+380 (04) 430-74-48,khrystyna21@example.net
Сагаль,Златослава,Григорівна,Жінка,1993-06-11,Дантист,село Хмельницький,"проспект Юрія Єгорова, буд. 1, Теплодар, 57851",050 185 17 09,nkanivets@example.org
Комар,Леонід,Васильович,Чоловік,1988-06-20,Економіст,село Світловодськ,"провулок Партизанська, буд. 13 кв. 758, Золотоноша, 55843",963-07-07,babiichukoleksa@example.com
Шаповал,Вʼячеслав,Дмитрович,Чоловік,1995-03-13,Психолог,село Умань,"шосе Оранжерейний, буд. 10, Ізюм, 22982",+380 88 620-86-44,zlatoslavakozak@example.com
Чалий,Симон,Петрович,Чоловік,1970-09-30,Реабілітолог,хутір Гайворон,"проспект Леопольда Ященка, буд. 088 кв. 0, Чистякове, 52598",155-98-92,pushkarsemen@example.com
Ващенко-Захарченко,Трохим,Максимович,Чоловік,1996-10-14,Електротехнік,селище Яготин,"провулок Кримська, буд. 25, Ічня, 57115",693-21-19,rmatiash@example.net
Стець,Орхип,Павлович,Чоловік,1940-06-25,Правник,місто Кролевець,"площа Середньофонтанський, буд. 964 кв. 10, Буча, 92178",+380 15 963-64-48,babychenkobohdan@example.org
Цісик,Святослава,Григорівна,Жінка,1953-01-29,Журналіст,хутір Судак,"парк Скляний 3-й, буд. 04, Благовіщенське, 80390",+380 89 960-21-11,alina86@example.com
Заєць,Любов,Іванівна,Жінка,1950-12-25,Єгер,місто Запоріжжя,"проспект Армійська, буд. 19, Корець, 92978",124 68 83,lbaklan@example.net
Шаповал,Олесь,Федорович,Чоловік,2002-04-07,Ботанік,селище Жмеринка,"вулиця Басейний 6-й, буд. 0, Новоград-Волинський, 33068",+380 36 151-94-46,iefymenkoalbert@example.org
Андріїшина,Ольга,Дмитрівна,Жінка,1954-11-07,Круп'є,селище Берегове,"проспект Артура Савельєва, буд. 72, Хмельницький, 08697",+380 93 086-33-69,jbezditko@example.org
Базилевська,Володимира,Олегівна,Жінка,1983-02-22,Художник,село Суходільськ,"узвіз Іони Отаманського, буд. 84 кв. 25, Білопілля, 62686",083 190-20-15,liliiaatroshchenko@example.com
Василевич,Леопольд,Володимирович,Чоловік,1980-03-18,Лікар,село Українськ,"сквер Віктора Скаржинського узвіз, буд. 1 кв. 87, Хмельницький, 80952",040 679 47 54,oshmorhun@example.com
Ващенко,Охрім,Васильович,Чоловік,1969-06-21,Мінералог,місто Вишгород,"провулок 15-та ст. Великого Фонтану пляж, буд. 862, Рівне, 20998",175 02 12,kamilla86@example.org
Якименко,Мартин,Васильович,Чоловік,1985-06-18,Кіноактор,село Марганець,"набережна Наявний 4-й, буд. 359, Почаїв, 88571",+380 (40) 662-20-91,onufriienkodemyd@example.net
